,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname,user_level,is_mobile,user_client
0,11542228586,6474492,32977c9f-1ba8-4d06-a895-d42ee077bdfd,很薄，轻，看了好久才决定下来。这款是我看的，同类型性价比最高的。刚刚拿到后面面的运行情况追评。至少硬件，所有的配置是一致的。,2018-06-01 19:55:13,6474492,2018-06-01 10:54:46,5,2***3,PLUS会员,True,来自京东Android客户端
1,11652009444,6474492,fdc308a0-a524-4fe7-a1b7-1c12201095c5,开机非常快，被惊艳到了。本本也很薄，很好看，方便携带。win10系统也很好用。很赞，值得购买。,2018-06-28 20:56:47,6474492,2018-06-18 23:36:19,5,j***v,PLUS会员,True,来自京东Android客户端
2,11800186165,6474492,d4926d63-c389-4e80-8329-509d1d334307,笔记本目前使用过程中没有出现什么故障，运行流畅，外观精美，超薄，硬件配置还是非常不错的，性价比还不错,2018-08-12 21:35:01,6474492,2018-07-16 08:44:40,5,冰***3,PLUS会员,True,来自京东iPhone客户端
3,11303102191,6474492,18b4b845-9902-42d9-82db-2710e3147dba,外观大气上档次  屏幕清晰  ，非常满意 ， 公司用的，双硬盘 8G 内存 I7处理器， 要是能送个包包就更好了， 送货及时,2018-03-12 13:51:43,6474492,2018-03-08 17:53:55,5,仙***圣,PLUS会员,False,
4,11542372352,6474492,ab3780ce-8338-4e21-9c83-84b60f345e17,笔记本收到了，感觉非常棒！屏幕很大，边框很窄，电脑速度也很不快，总体感觉还是不错的,2018-06-01 20:38:03,6474492,2018-06-01 10:57:30,5,j***2,金牌会员,True,来自京东iPhone客户端
5,11548036958,6474492,b528017d-424e-42ee-bc50-e59a3df62efa,发货速度快，京东物流就是给力。配置是i7  128ssd 1t机械配置。配置很高，价格很实惠。总体很满意，但是散热不太好。屏幕很大。,2018-06-03 11:03:01,6474492,2018-06-02 11:39:49,5,M***g,PLUS会员,True,来自京东Android客户端
6,11836611731,6474492,2b089e3b-d3e6-4e11-9718-ef57fbb8611b,买电脑时，咨询了朋友，朋友告诉我戴尔性价比高，首选戴尔～22号晚上定的，23号中午就拿到，物流真的很快～因中午不在，给物流小哥说明了情况，让父母出门代收，小哥还等了一会，态度很好～晚上回来后打开试用了一下，感觉不错，使用流畅～,2018-08-24 00:23:25,6474492,2018-08-22 23:00:58,5,j***w,银牌会员,True,来自京东Android客户端
7,11612279480,6474492,45c36f58-d256-4097-918a-e41e38584c8e,触感还不错，屏幕键盘都非常棒，就是不知道，运行的快不快，有很多东西都有待考验，希望我的眼光不会错哈哈,2018-06-19 12:13:02,6474492,2018-06-18 00:01:07,5,j***0,银牌会员,True,来自京东Android客户端
8,11472928852,6474492,a0c8e82f-9e3b-4631-9f13-536fdaa7c575,I7-8550处理器，双硬盘128G+1T，运行速度快，15.6寸大屏幕，4G独显，太棒了，京东送货速度快，服务号，戴尔又是大品牌,2018-05-10 22:21:11,6474492,2018-05-09 19:28:02,5,j***h,PLUS会员,True,来自京东Android客户端
9,11332531107,6474492,e66b16d6-09c0-4c32-b35a-792ef8a7dbd6,挺好看的 跟我想象的一模一样 也不是很重 激活的时候可以对话 超可爱,2018-03-22 13:41:04,6474492,2018-03-20 13:39:53,5,颖***颖,银牌会员,True,来自京东iPhone客户端
